in s,C1 in V,C2 in V
-3.7128684E-02,2.1380175E+00,6.25003815E-01
-3.7128308E-02,2.1380175E+00,6.25003815E-01
-3.7127932E-02,2.1380175E+00,6.25003815E-01
-3.7127556E-02,2.1380175E+00,6.25003815E-01
-3.7127180E-02,2.1380175E+00,6.25003815E-01
-3.7126804E-02,2.1380175E+00,6.25003815E-01
-3.7126428E-02,2.1380175E+00,6.25003815E-01
-3.7126052E-02,2.1380175E+00,6.25003815E-01
-3.7125676E-02,2.1380175E+00,6.25003815E-01
-3.7125300E-02,2.1380175E+00,6.25003815E-01
-3.7124924E-02,2.1380175E+00,6.25003815E-01
-3.7124548E-02,2.1380175E+00,6.25003815E-01
-3.7124172E-02,2.1380175E+00,6.25003815E-01
-3.7123796E-02,2.1380175E+00,6.25003815E-01
-3.7123420E-02,2.1380175E+00,6.25003815E-01
-3.7123044E-02,2.1380175E+00,6.25003815E-01
-3.7122668E-02,2.1380175E+00,6.25003815E-01
-3.7122292E-02,2.1380175E+00,6.25003815E-01
-3.7121916E-02,2.1380175E+00,6.25003815E-01
-3.7121540E-02,2.1380175E+00,6.25003815E-01
-3.7121164E-02,2.1380175E+00,6.25003815E-01
-3.7120788E-02,2.1380175E+00,6.25003815E-01
-3.7120412E-02,2.1380175E+00,6.25003815E-01
-3.7120036E-02,2.1380175E+00,6.25003815E-01
-3.7119660E-02,2.1380175E+00,6.25003815E-01
-3.7119284E-02,2.1380175E+00,6.25003815E-01
-3.7118908E-02,2.1380175E+00,6.25003815E-01
-3.7118532E-02,2.1380175E+00,6.25003815E-01
-3.7118156E-02,2.1380175E+00,6.25003815E-01
-3.7117780E-02,2.1380175E+00,6.25003815E-01
-3.7117404E-02,2.1380175E+00,6.25003815E-01
-3.7117028E-02,2.1380175E+00,6.25003815E-01
-3.7116652E-02,2.1380175E+00,6.25003815E-01
-3.7116276E-02,2.1380175E+00,6.25003815E-01
-3.7115900E-02,2.1380175E+00,6.25003815E-01
-3.7115524E-02,2.1380175E+00,6.25003815E-01
-3.7115148E-02,2.1380175E+00,6.25003815E-01
-3.7114772E-02,2.1380175E+00,6.25003815E-01
-3.7114396E-02,2.1380175E+00,6.25003815E-01
-3.7114020E-02,2.1380175E+00,6.25003815E-01
-3.7113644E-02,2.1380175E+00,6.25003815E-01
-3.7113268E-02,2.1380175E+00,6.25003815E-01
-3.7112892E-02,2.1380175E+00,6.25003815E-01
-3.7112516E-02,2.1380175E+00,6.25003815E-01
-3.7112140E-02,2.1380175E+00,6.25003815E-01
-3.7111764E-02,2.1380175E+00,6.25003815E-01
-3.7111388E-02,2.1380175E+00,6.25003815E-01
-3.7111012E-02,2.1380175E+00,6.25003815E-01
-3.7110636E-02,2.1380175E+00,6.25003815E-01
-3.7110260E-02,2.1380175E+00,6.25003815E-01
-3.7109884E-02,2.1380175E+00,6.25003815E-01
-3.7109508E-02,2.1380175E+00,6.25003815E-01
-3.7109132E-02,2.1380175E+00,6.25003815E-01
-3.7108756E-02,2.1380175E+00,6.25003815E-01
-3.7108380E-02,2.1380175E+00,6.25003815E-01
-3.7108004E-02,2.1380175E+00,6.25003815E-01
-3.7107628E-02,2.1380175E+00,6.25003815E-01
-3.7107252E-02,2.1380175E+00,6.25003815E-01
-3.7106876E-02,2.1380175E+00,6.25003815E-01
-3.7106500E-02,2.1380175E+00,6.25003815E-01
-3.7106124E-02,2.1380175E+00,6.25003815E-01
-3.7105748E-02,2.1380175E+00,6.25003815E-01
-3.7105372E-02,2.1380175E+00,6.25003815E-01
-3.7104996E-02,2.1380175E+00,6.25003815E-01
-3.7104620E-02,2.1380175E+00,6.25003815E-01
-3.7104244E-02,2.1380175E+00,6.25003815E-01
-3.7103868E-02,2.1380175E+00,6.25003815E-01
-3.7103492E-02,2.1380175E+00,6.25003815E-01
-3.7103116E-02,2.1380175E+00,6.25003815E-01
-3.7102740E-02,2.1380175E+00,6.25003815E-01
-3.7102364E-02,2.1380175E+00,6.25003815E-01
-3.7101988E-02,2.1380175E+00,6.25003815E-01
-3.7101612E-02,2.1380175E+00,6.25003815E-01
-3.7101236E-02,2.1380175E+00,6.25003815E-01
-3.7100860E-02,2.1380175E+00,6.25003815E-01
-3.7100484E-02,2.1380175E+00,6.25003815E-01
-3.7100108E-02,2.1380175E+00,6.25003815E-01
-3.7099732E-02,2.1380175E+00,6.25003815E-01
-3.7099356E-02,2.1380175E+00,6.25003815E-01
-3.7098980E-02,2.1380175E+00,6.25003815E-01
-3.7098604E-02,2.1380175E+00,6.25003815E-01
-3.7098228E-02,2.1380175E+00,6.25003815E-01
-3.7097852E-02,2.1380175E+00,6.25003815E-01
-3.7097476E-02,2.1380175E+00,6.25003815E-01
-3.7097100E-02,2.1380175E+00,6.25003815E-01
-3.7096724E-02,2.1380175E+00,6.25003815E-01
-3.7096348E-02,2.1380175E+00,6.25003815E-01
-3.7095972E-02,2.1380175E+00,6.25003815E-01
-3.7095596E-02,2.1380175E+00,6.25003815E-01
-3.7095220E-02,2.1380175E+00,6.25003815E-01
-3.7094844E-02,2.1380175E+00,6.25003815E-01
-3.7094468E-02,2.1380175E+00,6.25003815E-01
-3.7094092E-02,2.1380175E+00,6.25003815E-01
-3.7093716E-02,2.1380175E+00,6.25003815E-01
-3.7093340E-02,2.1380175E+00,6.25003815E-01
-3.7092964E-02,2.1380175E+00,6.25003815E-01
-3.7092588E-02,2.1380175E+00,6.25003815E-01
-3.7092212E-02,2.1380175E+00,6.25003815E-01
-3.7091836E-02,2.1380175E+00,6.25003815E-01
-3.7091460E-02,2.1380175E+00,6.25003815E-01
-3.7091084E-02,2.1380175E+00,6.25003815E-01
-3.7090708E-02,2.1380175E+00,6.25003815E-01
-3.7090332E-02,2.1380175E+00,6.25003815E-01
-3.7089956E-02,2.1380175E+00,6.25003815E-01
-3.7089580E-02,2.1380175E+00,6.25003815E-01
-3.7089204E-02,2.1380175E+00,6.25003815E-01
-3.7088828E-02,2.1380175E+00,6.25003815E-01
-3.7088452E-02,2.1380175E+00,6.25003815E-01
-3.7088076E-02,2.1380175E+00,6.25003815E-01
-3.7087700E-02,2.1380175E+00,6.25003815E-01
-3.7087324E-02,2.1380175E+00,6.25003815E-01
-3.7086948E-02,2.1380175E+00,6.25003815E-01
-3.7086572E-02,2.1380175E+00,6.25003815E-01
-3.7086196E-02,2.1380175E+00,6.25003815E-01
-3.7085820E-02,2.1380175E+00,6.25003815E-01
-3.7085444E-02,2.1380175E+00,6.25003815E-01
-3.7085068E-02,2.1380175E+00,6.25003815E-01
-3.7084692E-02,2.1380175E+00,6.25003815E-01
-3.7084316E-02,2.1380175E+00,6.25003815E-01
-3.7083940E-02,2.1380175E+00,6.25003815E-01
-3.7083564E-02,2.1380175E+00,6.25003815E-01
-3.7083188E-02,2.1380175E+00,6.25003815E-01
-3.7082812E-02,2.1380175E+00,6.25003815E-01
-3.7082436E-02,2.1380175E+00,6.25003815E-01
